"Association","Coding","Source1","Source2","Source3","Sources4"
"Minnesota Grain & Feed Association",,,,,
"Minnesota Pork Producers Association",,,,,
"Mississippi Poultry Association",,,,,
"Missouri Cattlemen's Association",,,,,
"Missouri Corn Growers Association",,,,,
"Missouri Pork Association",,,,,
"Missouri Soybean Association",,,,,
"Montana Pork Producers Council",,,,,
"Nebraska Cattlemen's Association",,,,,
"Nebraska Corn Board",,,,,
"Nebraska Pork Producers Association",,,,,
"New York Beef Producer's Association",,,,,
"North Carolina Pork Council",,,,,
"North Dakota Corn Growers",,,,,
"Ohio Cattlemen's Association",,,,,
"Ohio Corn & Wheat Growers Association",,,,,
"Ohio Pork Council",,,,,
"Oklahoma Cattlemen's Association",,,,,
"Oklahoma Pork Council",,,,,
"Oregon Cattlemen's Association",,,,,
"Oregon Dairy Farmers Association",,,,,
"Oregon Forest Industries Council",,,,,
"South Carolina Cattlemen's Association",,,,,
"South Dakota Grain & Feed Association",,,,,
"Tennessee Cattlemen's Association",,,,,
"Tennessee Pork Producers Association",,,,,
"Texas Forestry Association",,,,,
"Texas Pork Producers Association",,,,,
"The Missouri Dairy Association",,,,,
"Virginia Cattlemen's Association",,,,,
"Washington Cattle Feeders Association",,,,,
"Wisconsin Corn Growers Association",,,,,
"Wisconsin Pork Producers Association",,,,,
"Juvenile Products Manufacturers Association",,,,,
"Midwest Dairy Coalition",,,,,
"American Shrimp Processors Association",,,,,
"Select Milk Producers",,,,,
"Cranberry Marketing Committee",,,,,
"Medical Imaging and Technology Alliance",,,,,
"California Cherries",,,,,
"Water & Wastewater Equipment Manufacturers Association Inc",,,,,
"Plains Cotton Cooperative Association",,,,,
"True Source Honey",,,,,
"Association of Electrical and Medical Imaging Equipment Manufacturers",,,,,
